"from","to","strength"
"State_code.x","District_codes_with_names.x",1
"State_code.x","HH___Main_income_source",1
"State_code.x","HH___Local_area_unit_name",1
"State_code.x","HH___Local_units_acre",1
"State_code.x","HH__c_Meals_to_workers",1
"State_code.x","HH__f_Own__Threshers",1
"State_code.x","HH___Animal_care__Primary_ID.x",1
"State_code.x","HH___Busns__Work_place.1",1
"State_code.x","HH____Govt_housing",0.923076923076923
"State_code.x","HH____Ration_card",1
"State_code.x","HH___Health_insurance",0.923076923076923
"State_code.x","HH___TV_regular_Men",1
"State_code.x","HH___TV_hrs_day_Men",1
"State_code.x","HH___Radio_regular_Women",1
"State_code.x","HH___Sugar__PDS_price",1
"State_code.x","HH___Cereal_products__homegr",1
"State_code.x","HH___Pulses__homegrown",1
"State_code.x","HH___Eggs__homegrown",1
"State_code.x","HH___Milk_products__homegr",1
"State_code.x","HH___Vegetables__homegrown",1
"State_code.x","HH___Own__Mixer_grinder",1
"State_code.x","HH___Own__Motor_cycle",1
"State_code.x","HH___Own__B_W_TV",1
"State_code.x","HH___Own__Air_cooler",0.923076923076923
"State_code.x","HH___Own___clothes",1
"State_code.x","HH___Own__Footwear",1
"State_code.x","HH__b_Jewelery_sold_to_pay",1
"State_code.x","HH__e_Netwk_Med_Community",1
"State_code.x","HH__f_Netwk_Med_Residence",0.923076923076923
"State_code.x","HH__e_Netwk_School_Community",1
"State_code.x","HH__c_Netwk_Govt_Sex",1
"State_code.x","HH__e_Netwk_Govt_Community",1
"State_code.x","HH___Member_Development_NGO",1
"State_code.x","HH___Theft",0.923076923076923
"State_code.x","HH___Death___Cause",1
"State_code.x","HH___Death___Age.1",1
"State_code.x","HH___Death___Cause.1",1
"State_code.x","HH___Death___Rel_to_head.2",1
"State_code.x","EH___Stratum_Number",1
"State_code.x","EH___Intvw_Language_Code",1
"State_code.x","EH___Ch__School_enrolment.1",1
"State_code.x","EH___Ch__Local_teacher.1",1
"State_code.x","EH___Ch__Biased_teacher",1
"State_code.x","EH___Ch__PTA_participation.1",1
"State_code.x","EH__b_Ch__Ever_beaten.1",1
"State_code.x","EH__d_Wed_Gift__car",1
"State_code.x","EH__g_Wed_Gift__Fridge",1
"State_code.x","EH__a_Vent_in_cooking_place",1
"State_code.x","EH___HH_electricity",1
"State_code.x","EH__b_Electricity_Payment",1
"State_code.x","EH__a_Dung_source",1
"State_code.x","EH___Coal__charcoal_use",1
"State_code.x","EH__a_Fuel_distance",1
"State_code.x","EH__b_Fuel_Coll_women",1
"State_code.x","EH__c_Fuel_Coll_men",1
"State_code.x","EH_clinicid_state",1
"State_code.x","EH__b_AIDS_Needle",1
"State_code.x","EH__d_AIDS_Transfusion",1
"State_code.x","EH__f_Child_s_wed_No_One",1
"State_code.x","EH__b_Resp_account_holder",0.923076923076923
"State_code.x","EH___Would_live_w_daughter",1
"State_code.x","EH___Support__daughter",1
"State_code.x","EH___Harassment_of_girls",1
"State_code.x","EH__who_else_present",1
"State_code.x","EH___Natal_fam_married_same_vill",1
"State_code.x","EH__c_Contraception_Method",1
"State_code.x","EH__a_More_children_desired",0.923076923076923
"State_code.x","EH__c_Time_next_birth_Husb",1
"State_code.x","EH__b_N_daughters_ideally",1
"State_code.x","EH__Others_present",1
"State_code.x","EH__c_LB_checkup_Pvt_clinic",1
"State_code.x","EH__d_LB_checkup_Gov_as_pvt",0.923076923076923
"State_code.x","EH__h_LB_checkup_Midwife",1
"State_code.x","EH__d_LB_checkup_Urine_Test",1
"State_code.x","EH__a_LB_prob__Night_blindness",1
"State_code.x","EH__b_LB_prob__Blurred_vision",0.923076923076923
"State_code.x","EH__a_LB_when_post_checkup",1
"State_code.x","EH__b_LB_Very_high_fever",1
"State_code.x","EH____LB_BCG_given",1
"State_code.x","EH___LB_st_breastfeeding",1
"State_code.x","EH__a_LB_AWC_Immun_freq",1
"State_code.x","EH__c_LB_AWC_Food",0.923076923076923
"State_code.x","EH__c_LB_AWC_Food_freq",1
"State_code.x","EH__f_NLB_checkup_doctor",0.923076923076923
"State_code.x","EH___NLB_checkup_Months",1
"State_code.x","EH__a_NLB_checkup_Weight",1
"State_code.x","EH__c_NLB_checkup_Blood",1
"State_code.x","EH____NLB_Iron_tablets",1
"State_code.x","EH__e_NLB_delivery_Other",1
"State_code.x","EH___NLB_Post_checkup",1
"State_code.x","EH____NLB_Immunization_card",1
"State_code.x","EH____NLB_Vacc_not_rec",1
"State_code.x","EH____NLB_BCG_given",1
"State_code.x","EH__b_NLB_First_polio",1
"State_code.x","EH___NLB_Breastfeeding",1
"State_code.x","EH___NLB_Brfeed_duratn",1
"State_code.x","EH___Obs__Understanding",1
"State_code.x","Imputed_age_at_first_gauna",1
"State_code.x","HH___Farm_work_days_year",1
"State_code.x","HH___Animal_care__Freq",1
"State_code.x","HH___Meals_housing_job",1
"State_code.x","HH___Old_Age_Pension_Rs",1
"State_code.x","HH___Disability_Pension_Rs",1
"State_code.x","HH___Educ__Ever_repeated",1
"State_code.x","HH___Educ__Post_nd_subj",1
"State_code.x","EH___Free_uniform",1
"State_code.x","EH__a_Diarrhoea_with_blood",1
"State_code.x","EH__a_STMorb_Treatment",1
"State_code.x","EH__a_STMorb_Who_st_treat",1
"State_code.x","EH__a_STMorb_Where_st_treat",1
"State_code.x","EH__a_STMorb_Who_nd_treat",1
"State_code.x","EH__a_STMorb_Where_nd_treat",1
"State_code.x","EH___High_BP",1
"State_code.x","EH___Difficulty_Toilet",1
"State_code.x","EH___Difficulty_Dressing",1
"State_code.x","EH___Difficulty_Speaking",1
"State_code.x","EH___Difficulty_Short_sight",1
"State_code.x","EH___Test_math_score",1
"PSU__village_neighborhood_code.x","HH___Village_town_code",1
"PSU__village_neighborhood_code.x","EH___Tehsil_Taluka_Code",1
"PSU_ID__digit_unique.x","HH___Years_in_place",1
"PSU_ID__digit_unique.x","HH__f_Loan_repayment",1
"PSU_ID__digit_unique.x","HH__a_Netwk_Medical",1
"PSU_ID__digit_unique.x","HH___Attend_public_meeting",1
"PSU_ID__digit_unique.x","HH___Solve_local_problems",1
"PSU_ID__digit_unique.x","EH___Ch__Local_teacher",1
"PSU_ID__digit_unique.x","EH___Ch__PTA_participation",1
"PSU_ID__digit_unique.x","EH__a_Ch__Ever_praised",1
"PSU_ID__digit_unique.x","EH___Marry_daughter_natal_vill",1
"PSU_ID__digit_unique.x","EH___Marry_daughter_cousin",1
